Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contract_Date,Vendor
DOD,179999989,GEORGIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,MARYLAND,USA,3,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,MARYLAND,USA,3,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,MARYLAND,USA,7,DEFENSE LOGISTICS AGENCY,2012,"NURAD TECHNOLOGIES, INC."
DOD,179999989,NEW MEXICO,USA,1,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,179999989,OKLAHOMA,USA,5,DEFENSE LOGISTICS AGENCY,2011,"U.S. FOODSERVICE, INC."
DOD,176670000,WASHINGTON,USA,1,DEPT OF THE ARMY,2012,"FRESENIUS KABI, LLC"
DOD,167399997,VIRGINIA,USA,8,DEFENSE THREAT REDUCTION AGENCY (DTRA),2011,COMPUTER SCIENCES CORPORATION
DOD,164000000,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,RICOH AMERICAS CORPORATION
DOD,163000002,ILLINOIS,USA,9,DEFENSE LOGISTICS AGENCY,2011,XEROX CORPORATION
DOD,161999994,CALIFORNIA,USA,44,DEPT OF THE NAVY,2012,COMPUTER SCIENCES CORPORATION
DOD,160000000,MASSACHUSETTS,USA,9,DEPT OF THE ARMY,2012,ILLINOIS TOOL WORKS INC.
DOD,158100340,OHIO,USA,3,DEFENSE LOGISTICS AGENCY,2011,"ARROW ELECTRONICS, INC."
DOD,154410373,COLORADO,USA,6,DEPT OF THE NAVY,2011,ARROW ENTERPRISE COMPUTING SOLUTIONS INC.
DOD,152000000,VIRGINIA,USA,10,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"HP ENTERPRISE SERVICES, LLC"
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2011,NAVISTAR DEFENSE LLC
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2011,NAVISTAR DEFENSE LLC
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2012,NAVISTAR DEFENSE LLC
DOD,150000000,ILLINOIS,USA,13,DEFENSE LOGISTICS AGENCY,2012,NAVISTAR DEFENSE LLC
DOD,149010001,TEXAS,USA,4,DEPT OF THE AIR FORCE,2011,L-3 COMMUNICATIONS CORPORATION
DOD,146000000,,AUSTRALIA,,DEPT OF THE NAVY,2012,THALES AUSTRALIA LIMITED
DOD,140000000,ARIZONA,USA,7,MISSILE DEFENSE AGENCY (MDA),2012,RAYTHEON COMPANY
DOD,140000000,CALIFORNIA,USA,40,DEPT OF THE ARMY,2012,THALES-RAYTHEON SYSTEMS COMPANY LLC
DOD,140000000,FLORIDA,USA,10,DEPT OF THE AIR FORCE,2011,RAYTHEON COMPANY
DOD,140000000,MASSACHUSETTS,USA,3,DEPT OF THE AIR FORCE,2011,RAYTHEON COMPANY
DOD,140000000,TEXAS,USA,4,DEPT OF THE NAVY,2012,RAYTHEON COMPANY
DOD,140000000,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,2011,"SYSCO SEATTLE, INC."
DOD,140000000,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,2011,"SYSCO SEATTLE, INC."
DOD,139609999,TEXAS,USA,4,DEPT OF THE NAVY,2012,L-3 COMMUNICATIONS CORPORATION
DOD,137194219,CONNECTICUT,USA,5,DEFENSE LOGISTICS AGENCY,2011,"BARDEN CORPORATION, THE"
DOD,130000000,CONNECTICUT,USA,5,DEPT OF THE NAVY,2011,"CANBERRA INDUSTRIES, INC."
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,129999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,QWEST GOVERNMENT SERVICES INCORPORATED (8481)
DOD,126974556,CALIFORNIA,USA,17,DEPT OF THE AIR FORCE,2011,"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY CALIFORNIA, INC."
DOD,124000000,PENNSYLVANIA,USA,17,DEFENSE LOGISTICS AGENCY,2012,TYCO ELECTRONICS CORPORATION
DOD,123616650,WASHINGTON,USA,2,DEPT OF THE NAVY,2012,FLUKE ELECTRONICS CORPORATION
DOD,120000000,NEW JERSEY,USA,1,DEFENSE LOGISTICS AGENCY,2012,L-3 COMMUNICATIONS CORPORATION
DOD,120000000,NEW YORK,USA,27,DEPT OF THE ARMY,2012,"WASTE MANAGEMENT OF NEW YORK, L.L.C."
DOD,120000000,OKLAHOMA,USA,1,DEFENSE LOGISTICS AGENCY,2011,L-3 COMMUNICATIONS WESTWOOD CORPORATION
DOD,119609999,TEXAS,USA,6,DEPT OF THE AIR FORCE,2011,L-3 COMMUNICATIONS CORPORATION
DOD,119606999,UTAH,USA,1,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),2011,L-3 COMMUNICATIONS CORPORATION
DOD,119600005,OHIO,USA,2,DEFENSE LOGISTICS AGENCY,2012,L-3 COMMUNICATIONS CINCINNATI ELECTRONICS CORPORATION
DOD,116800000,LOUISIANA,USA,2,DEFENSE LOGISTICS AGENCY,2011,CADILLAC GAGE TEXTRON INC.
DOD,116800000,LOUISIANA,USA,2,DEFENSE LOGISTICS AGENCY,2012,CADILLAC GAGE TEXTRON INC.
DOD,114933329,INDIANA,USA,9,DEPT OF THE ARMY,2011,CUMMINS INC.
DOD,112000000,TEXAS,USA,21,DEPT OF THE AIR FORCE,2011,GSD&M IDEA CITY LLC
DOD,112000000,TEXAS,USA,21,DEPT OF THE AIR FORCE,2011,GSD&M IDEA CITY LLC
DOD,110000000,VIRGINIA,USA,1,DEFENSE LOGISTICS AGENCY,2012,"FERGUSON ENTERPRISES, INC."
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,108226662,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,100000000,CALIFORNIA,USA,35,DEFENSE LOGISTICS AGENCY,2012,"PARKER-HANNIFIN, CORPORATION"
DOD,100000000,CALIFORNIA,USA,48,DEFENSE LOGISTICS AGENCY,2011,"PARKER-HANNIFIN, CORPORATION"
DOD,100000000,CALIFORNIA,USA,48,DEPT OF THE NAVY,2011,PARKER-HANNIFIN CORPORATION
DOD,100000000,FLORIDA,USA,23,DEPT OF THE NAVY,2012,THERMO ELECTRON NORTH AMERICA LLC
DOD,100000000,OHIO,USA,10,DEPT OF THE NAVY,2012,RADIOMETER AMERICA INC.
DOD,100000000,VIRGINIA,USA,8,DEFENSE LOGISTICS AGENCY,2011,"CANON U.S.A., INC."
DOD,100000000,,JAPAN,,DOD EDUCATION ACTIVITY (DODEA),2011,"JUMBO TOURS CO.,LTD."
DOD,99580000,TEXAS,USA,26,DEPT OF THE ARMY,2012,"ALCON LABORATORIES, INC."
DOD,96000000,MASSACHUSETTS,USA,6,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),2011,HENSCHEL INC.
DOD,95070003,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,2011,"PRAXAIR, INC."
DOD,95070003,WASHINGTON,USA,9,DEFENSE LOGISTICS AGENCY,2011,"PRAXAIR, INC."
DOD,95050199,HAWAII,USA,1,DEPT OF THE NAVY,2012,"EAN HOLDINGS, LLC"
DOD,94660003,CONNECTICUT,USA,5,DEFENSE LOGISTICS AGENCY,2011,"PRAXAIR, INC."
DOD,93116666,NEBRASKA,USA,2,DEPT OF THE ARMY,2012,KIEWITPHELPS
DOD,93040005,ILLINOIS,USA,14,DEFENSE LOGISTICS AGENCY,2012,SKF USA INC.
DOD,93040000,PENNSYLVANIA,USA,13,DEFENSE LOGISTICS AGENCY,2011,SKF USA INC.
DOD,90491330,TENNESSEE,USA,4,DEPT OF THE NAVY,2011,JACOBS TECHNOLOGY INC.
DOD,90000000,NEW YORK,USA,4,DEPT OF THE ARMY,2012,"MARRIOTT INTERNATIONAL, INC."
DOD,90000000,PENNSYLVANIA,USA,18,DEFENSE LOGISTICS AGENCY,2012,FISHER SCIENTIFIC COMPANY L.L.C.
DOD,89999994,VIRGINIA,USA,8,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,89999994,VIRGINIA,USA,8,DEPT OF THE NAVY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,86590003,,JAPAN,,DEPT OF THE AIR FORCE,2011,"DAIICHI BUSSAN CO,. LTD"
DOD,83000002,CALIFORNIA,USA,53,DEPT OF THE ARMY,2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,CALIFORNIA,USA,53,DEPT OF THE NAVY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,VIRGINIA,USA,8,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,VIRGINIA,USA,8,DEPT OF THE AIR FORCE,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,VIRGINIA,USA,8,DEPT OF THE ARMY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,VIRGINIA,USA,8,DEPT OF THE NAVY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000002,VIRGINIA,USA,8,DEPT OF THE NAVY,2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000000,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000000,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,83000000,NEW JERSEY,USA,11,DEFENSE LOGISTICS AGENCY,2012,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
DOD,80000000,CALIFORNIA,USA,10,DEPT OF THE NAVY,2012,"UNIVERSAL PROPULSION COMPANY, INC."
DOD,80000000,MASSACHUSETTS,USA,7,DEPT OF THE NAVY,2012,BOSTON SCIENTIFIC CORPORATION
DOD,80000000,SOUTH CAROLINA,USA,6,DEPT OF THE NAVY,2011,OTIS ELEVATOR COMPANY
DOD,79501400,WISCONSIN,USA,5,DEFENSE LOGISTICS AGENCY,2012,WAUKESHA BEARINGS CORPORATION
DOD,78080000,NEW YORK,USA,2,DEFENSE LOGISTICS AGENCY,2012,EDO CORPORATION
DOD,78080000,NEW YORK,USA,2,DEPT OF THE NAVY,2012,EDO CORPORATION
DOD,76686668,OHIO,USA,11,DEFENSE LOGISTICS AGENCY,2012,THE SHERWIN-WILLIAMS COMPANY
DOD,73244001,WISCONSIN,USA,6,DEFENSE LOGISTICS AGENCY,2012,OSHKOSH CORPORATION
DOD,73244000,WISCONSIN,USA,6,DEFENSE LOGISTICS AGENCY,2011,OSHKOSH CORPORATION
DOD,73244000,WISCONSIN,USA,6,DEFENSE LOGISTICS AGENCY,2011,OSHKOSH CORPORATION
DOD,73244000,WISCONSIN,USA,6,DEFENSE LOGISTICS AGENCY,2011,OSHKOSH CORPORATION
DOD,73244000,WISCONSIN,USA,6,DEFENSE LOGISTICS AGENCY,2011,OSHKOSH CORPORATION
DOD,72960000,MINNESOTA,USA,2,DEPT OF THE AIR FORCE,2011,WEST PUBLISHING CORPORATION
DOD,72960000,MINNESOTA,USA,2,DEPT OF THE NAVY,2012,WEST PUBLISHING CORPORATION
DOD,72000000,CALIFORNIA,USA,53,DEPT OF THE ARMY,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION (SAIC CANADA)
DOD,71000002,OHIO,USA,14,DEFENSE LOGISTICS AGENCY,2011,GOODRICH CORPORATION
DOD,69669000,COLORADO,USA,5,DEFENSE LOGISTICS AGENCY,2012,"AMI INDUSTRIES, INC."
DOD,68860892,MICHIGAN,USA,3,DEPT OF THE NAVY,2011,"DOVER FLUID MANAGEMENT, INC."
DOD,68000000,FLORIDA,USA,1,DEFENSE LOGISTICS AGENCY,2011,L-3 COMMUNICATIONS INTEGRATED SYSTEMS L.P.
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,VIRGINIA,USA,7,DEFENSE LOGISTICS AGENCY,2011,"OWENS&MINOR DISTRIBUTION, INC."
DOD,64999997,,JAPAN,,DEPT OF THE NAVY,2011,"TOKYU BLDG MAINTENANCE CO., LTD."
DOD,64989998,TEXAS,USA,26,DEPT OF THE NAVY,2011,"ALCON LABORATORIES, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
