Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contract_Date,Vendor
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DOD,64880000,VIRGINIA,USA,11,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),2011,"CAPROCK GOVERNMENT SOLUTIONS, INC."
DRUG ENFORCEMENT ADMINISTRATION,389279990,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,2011,"NEXTEL OF CALIFORNIA, INC."
DRUG ENFORCEMENT ADMINISTRATION,389279990,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,2011,SPRINT COMMUNICATIONS COMPANY L.P.
DRUG ENFORCEMENT ADMINISTRATION,352140001,DISTRICT OF COLUMBIA,USA,0,DRUG ENFORCEMENT ADMINISTRATION,2011,FEDERAL EXPRESS CORPORATION
DRUG ENFORCEMENT ADMINISTRATION,220000010,MARYLAND,USA,3,DRUG ENFORCEMENT ADMINISTRATION,2011,"MOTOROLA SOLUTIONS, INC."
DRUG ENFORCEMENT ADMINISTRATION,140000000,VIRGINIA,USA,8,DRUG ENFORCEMENT ADMINISTRATION,2011,RAYTHEON COMPANY
"EDUCATION, DEPARTMENT OF",220000010,FLORIDA,USA,10,"EDUCATION, DEPARTMENT OF",2012,XEROX CORPORATION
"ENERGY, DEPARTMENT OF",200000000,CALIFORNIA,USA,10,"ENERGY, DEPARTMENT OF",2011,LAWRENCE LIVERMORE NATIONAL SECURITY LIMITED LIABILITY COMPANY
FEDERAL ACQUISITION SERVICE,3500000000,MARYLAND,USA,2,FEDERAL ACQUISITION SERVICE,2011,CYTEC ENGINEERED MATERIALS INC
FEDERAL ACQUISITION SERVICE,600000000,TEXAS,USA,24,FEDERAL ACQUISITION SERVICE,2011,"AVIALL SERVICES, INC."
FEDERAL ACQUISITION SERVICE,122389995,GEORGIA,USA,11,FEDERAL ACQUISITION SERVICE,2011,"PRC - DESOTO INTERNATIONAL, INC."
FEDERAL ACQUISITION SERVICE,122389995,GEORGIA,USA,11,FEDERAL ACQUISITION SERVICE,2011,"PRC - DESOTO INTERNATIONAL, INC."
FEDERAL ACQUISITION SERVICE,122389995,GEORGIA,USA,11,FEDERAL ACQUISITION SERVICE,2011,"PRC - DESOTO INTERNATIONAL, INC."
FEDERAL ACQUISITION SERVICE,122389995,GEORGIA,USA,11,FEDERAL ACQUISITION SERVICE,2011,"PRC - DESOTO INTERNATIONAL, INC."
FEDERAL ACQUISITION SERVICE,95000002,GEORGIA,USA,11,FEDERAL ACQUISITION SERVICE,2011,"PRC - DESOTO INTERNATIONAL, INC."
FEDERAL ACQUISITION SERVICE,90000000,OHIO,USA,14,FEDERAL ACQUISITION SERVICE,2011,"NMTC, INC."
FEDERAL ACQUISITION SERVICE,73244000,WISCONSIN,USA,6,FEDERAL ACQUISITION SERVICE,2011,OSHKOSH CORPORATION
FEDERAL HIGHWAY ADMINISTRATION,71461601,NEW YORK,USA,8,FEDERAL HIGHWAY ADMINISTRATION,2011,PARSONS BRINCKERHOFF QUADE AND DOUGLAS INCORPORATED (1569)
FEDERAL PRISON SYSTEM,1190000000,ARIZONA,USA,,FEDERAL PRISON SYSTEM,2011,AT&T CORP.
FEDERAL PRISON SYSTEM,739999990,CALIFORNIA,USA,50,FEDERAL PRISON SYSTEM,2011,"CAREFUSION SOLUTIONS, LLC"
FEDERAL PRISON SYSTEM,389280000,VIRGINIA,USA,8,FEDERAL PRISON SYSTEM,2011,SPRINT COMMUNICATIONS COMPANY L.P.
FEDERAL PRISON SYSTEM,352140001,TENNESSEE,USA,9,FEDERAL PRISON SYSTEM,2011,FEDERAL EXPRESS CORPORATION
FEDERAL PRISON SYSTEM,337463333,PENNSYLVANIA,USA,2,FEDERAL PRISON SYSTEM,2011,"COMCAST CABLE COMMUNICATIONS, LLC"
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,200000000,CALIFORNIA,USA,8,FEDERAL PRISON SYSTEM,2011,MCKESSON CORPORATION
FEDERAL PRISON SYSTEM,81000000,CALIFORNIA,USA,34,FEDERAL PRISON SYSTEM,2011,SOUTHERN CALIFORNIA GAS COMPANY
FOOD SAFETY AND INSPECTION SERVICE,153057331,VIRGINIA,USA,8,FOOD SAFETY AND INSPECTION SERVICE,2011,EMC CORPORATION
"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",80000000,VIRGINIA,USA,8,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",2011,CANON USA INCORPORATED
INTERNAL REVENUE SERVICE,8900000000,MARYLAND,USA,,INTERNAL REVENUE SERVICE,2012,INTERNATIONAL BUSINESS MACHINES CORPORATION
INTERNAL REVENUE SERVICE,100000000,VIRGINIA,USA,8,INTERNAL REVENUE SERVICE,2012,"CANON U.S.A., INC."
INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,150000000,TEXAS,USA,20,INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2011,"GLOBAL OPERATIONS TEXAS, L.P."
MINE SAFETY AND HEALTH ADMINISTRATION,256453324,PENNSYLVANIA,USA,14,MINE SAFETY AND HEALTH ADMINISTRATION,2011,"COMCAST OF CALIFORNIA/PENNSYLVANIA/UTAH/WASHINGTON, INC."
NASA,600000000,WASHINGTON,USA,7,NASA,2012,THE BOEING COMPANY
NASA,418999992,MARYLAND,USA,8,NASA,2011,LOCKHEED MARTIN CORPORATION
NASA,149519994,INDIANA,USA,7,NASA,2012,ROLLS-ROYCE NORTH AMERICAN TECHNOLOGIES INC.
NASA,145249996,VIRGINIA,USA,10,NASA,2011,COMPUTER SCIENCES CORPORATION
NASA,94660003,CONNECTICUT,USA,5,NASA,2012,"PRAXAIR, INC."
NASA,78000000,CALIFORNIA,USA,53,NASA,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
NASA,67593497,VIRGINIA,USA,10,NASA,2011,ORBITAL SCIENCES CORP
NATIONAL PARK SERVICE,1190000000,VIRGINIA,USA,11,NATIONAL PARK SERVICE,2012,AT&T CORP.
NATIONAL PARK SERVICE,220000010,MARYLAND,USA,3,NATIONAL PARK SERVICE,2012,"MOTOROLA SOLUTIONS, INC."
NATIONAL PARK SERVICE,125290004,CALIFORNIA,USA,32,NATIONAL PARK SERVICE,2012,SOUTHERN CALIFORNIA EDISON COMPANY
NATIONAL PARK SERVICE,120000000,TEXAS,USA,18,NATIONAL PARK SERVICE,2011,"WASTE MANAGEMENT, INC."
NATIONAL PARK SERVICE,100000000,VIRGINIA,USA,8,NATIONAL PARK SERVICE,2012,"CANON U.S.A., INC."
NUCLEAR REGULATORY COMMISSION,1800000000,NEW JERSEY,USA,7,NUCLEAR REGULATORY COMMISSION,2012,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
"OFFICE OF POLICY, BUDGET AND ADMINISTRATION",800000000,MINNESOTA,USA,2,"OFFICE OF POLICY, BUDGET AND ADMINISTRATION",2011,UNITED STATES POSTAL SERVICE
OFFICE OF THE SECRETARY,1400000000,GEORGIA,USA,5,OFFICE OF THE SECRETARY,2011,AT&T MOBILITY LLC
PROGRAM SUPPORT CENTER,250000000,MARYLAND,USA,4,PROGRAM SUPPORT CENTER,2011,"COMCAST OF POTOMAC, LLC"
SECURITIES AND EXCHANGE COMMISSION,72000000,VIRGINIA,USA,11,SECURITIES AND EXCHANGE COMMISSION,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
SMITHSONIAN INSTITUTION,650000015,TEXAS,USA,10,SMITHSONIAN INSTITUTION,2011,DELL FEDERAL SYSTEMS L.P.
SMITHSONIAN INSTITUTION,650000015,TEXAS,USA,10,SMITHSONIAN INSTITUTION,2011,DELL FEDERAL SYSTEMS L.P.
"STATE, DEPARTMENT OF",1400000000,GEORGIA,USA,5,"STATE, DEPARTMENT OF",2012,AT&T MOBILITY LLC
U.S. CITIZENSHIP AND IMMIGRATION SERVICES,240000000,NEW JERSEY,USA,5,U.S. CITIZENSHIP AND IMMIGRATION SERVICES,2011,SHARP ELECTRONICS CORPORATION
U.S. CITIZENSHIP AND IMMIGRATION SERVICES,240000000,NEW JERSEY,USA,5,U.S. CITIZENSHIP AND IMMIGRATION SERVICES,2011,SHARP ELECTRONICS CORPORATION
U.S. COAST GUARD,1800000000,NEW JERSEY,USA,7,U.S. COAST GUARD,2011,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
U.S. COAST GUARD,724480000,ILLINOIS,USA,10,U.S. COAST GUARD,2011,"SIEMENS INDUSTRY, INC."
U.S. COAST GUARD,582843280,VIRGINIA,USA,8,U.S. COAST GUARD,2011,"EADS CASA NORTH AMERICA, INC."
U.S. COAST GUARD,120000000,NEW HAMPSHIRE,USA,2,U.S. COAST GUARD,2011,"L-3 COMMUNICATIONS KLEIN ASSOCIATES, INC."
U.S. CUSTOMS AND BORDER PROTECTION,1800000000,NEW JERSEY,USA,7,U.S. CUSTOMS AND BORDER PROTECTION,2011,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
U.S. CUSTOMS AND BORDER PROTECTION,1400000000,GEORGIA,USA,5,U.S. CUSTOMS AND BORDER PROTECTION,2011,AT&T MOBILITY LLC
U.S. CUSTOMS AND BORDER PROTECTION,83000002,VIRGINIA,USA,8,U.S. CUSTOMS AND BORDER PROTECTION,2011,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
U.S. MARSHALS SERVICE,440000021,NEW JERSEY,USA,11,U.S. MARSHALS SERVICE,2011,CELLCO PARTNERSHIP
U.S. MARSHALS SERVICE,440000021,NEW JERSEY,USA,11,U.S. MARSHALS SERVICE,2011,CELLCO PARTNERSHIP
U.S. MARSHALS SERVICE,366399980,VIRGINIA,USA,8,U.S. MARSHALS SERVICE,2011,SPRINT COMMUNICATIONS COMPANY LP
U.S. MARSHALS SERVICE,360386667,PENNSYLVANIA,USA,2,U.S. MARSHALS SERVICE,2011,"COMCAST CABLE COMMUNICATIONS, LLC"
U.S. MARSHALS SERVICE,187980595,VIRGINIA,USA,8,U.S. MARSHALS SERVICE,2011,"ADT SECURITY SERVICES, INC."
U.S. MARSHALS SERVICE,187980595,VIRGINIA,USA,8,U.S. MARSHALS SERVICE,2011,"ADT SECURITY SERVICES, INC."
U.S. MARSHALS SERVICE,86659287,CALIFORNIA,USA,51,U.S. MARSHALS SERVICE,2011,"COX COMMUNICATIONS SAN DIEGO, INC."
US MINT,921130025,MARYLAND,USA,8,US MINT,2012,INTERNATIONAL BUSINESS MACHINES CORPORATION
"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",962780000,MARYLAND,USA,8,"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",2011,INTERNATIONAL BUSINESS MACHINES CORPORATION
"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",100000000,VIRGINIA,USA,8,"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",2011,"CANON U.S.A., INC."
"VETERANS AFFAIRS, DEPARTMENT OF",1500000000,WISCONSIN,USA,5,"VETERANS AFFAIRS, DEPARTMENT OF",2012,GENERAL ELECTRIC COMPANY
"VETERANS AFFAIRS, DEPARTMENT OF",1500000000,WISCONSIN,USA,5,"VETERANS AFFAIRS, DEPARTMENT OF",2012,GENERAL ELECTRIC COMPANY
"VETERANS AFFAIRS, DEPARTMENT OF",1090000000,NORTH CAROLINA,USA,8,"VETERANS AFFAIRS, DEPARTMENT OF",2012,MCKESSON CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",1060000000,PENNSYLVANIA,USA,6,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"SIEMENS MEDICAL SOLUTIONS USA, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",800000000,TEXAS,USA,3,"VETERANS AFFAIRS, DEPARTMENT OF",2012,US BIOSERVICES CORP
"VETERANS AFFAIRS, DEPARTMENT OF",739999990,CALIFORNIA,USA,50,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"CAREFUSION SOLUTIONS, LLC"
"VETERANS AFFAIRS, DEPARTMENT OF",720873308,PENNSYLVANIA,USA,6,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"SIEMENS MEDICAL SOLUTIONS USA, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",700000000,RHODE ISLAND,USA,1,"VETERANS AFFAIRS, DEPARTMENT OF",2012,CVS CAREMARK CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",624103330,INDIANA,USA,3,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"DEPUY ORTHOPAEDICS, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",624103330,MASSACHUSETTS,USA,4,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"DEPUY SPINE, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",624103330,MASSACHUSETTS,USA,4,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"DEPUY SPINE, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",622463345,INDIANA,USA,3,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"DEPUY ORTHOPAEDICS, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",622463345,INDIANA,USA,3,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"DEPUY ORTHOPAEDICS, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",480000000,MASSACHUSETTS,USA,9,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"MASSACHUSETTS, COMMONWEALTH OF"
"VETERANS AFFAIRS, DEPARTMENT OF",389279990,VIRGINIA,USA,8,"VETERANS AFFAIRS, DEPARTMENT OF",2012,SPRINT COMMUNICATIONS COMPANY L.P.
"VETERANS AFFAIRS, DEPARTMENT OF",378857964,INDIANA,USA,5,"VETERANS AFFAIRS, DEPARTMENT OF",2012,ROCHE DIAGNOSTICS CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",318196675,ILLINOIS,USA,10,"VETERANS AFFAIRS, DEPARTMENT OF",2012,ABBOTT LABORATORIES INC
"VETERANS AFFAIRS, DEPARTMENT OF",179999989,ILLINOIS,USA,9,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"US FOODS, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",164000000,NEW JERSEY,USA,11,"VETERANS AFFAIRS, DEPARTMENT OF",2012,RICOH AMERICAS CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",158169999,FLORIDA,USA,4,"VETERANS AFFAIRS, DEPARTMENT OF",2012,MEDTRONIC USA INC
"VETERANS AFFAIRS, DEPARTMENT OF",130000000,VIRGINIA,USA,8,"VETERANS AFFAIRS, DEPARTMENT OF",2012,QWEST GOVERNMENT SERVICES INC
"VETERANS AFFAIRS, DEPARTMENT OF",104579420,MISSOURI,USA,6,"VETERANS AFFAIRS, DEPARTMENT OF",2013,"MOTION INDUSTRIES, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",100000000,VIRGINIA,USA,8,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"CANON U.S.A., INC."
"VETERANS AFFAIRS, DEPARTMENT OF",92570275,MASSACHUSETTS,USA,9,"VETERANS AFFAIRS, DEPARTMENT OF",2012,SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS
"VETERANS AFFAIRS, DEPARTMENT OF",89999994,NORTH CAROLINA,USA,11,"VETERANS AFFAIRS, DEPARTMENT OF",2012,THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC
"VETERANS AFFAIRS, DEPARTMENT OF",80000000,MASSACHUSETTS,USA,3,"VETERANS AFFAIRS, DEPARTMENT OF",2012,"ATHENA DIAGNOSTICS, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",80000000,MASSACHUSETTS,USA,7,"VETERANS AFFAIRS, DEPARTMENT OF",2012,BOSTON SCIENTIFIC CORPORATION